Codigo Familia;Familia;legado
2524;VOIL LIST 2.80M;2524-VOIL LIST 2.80M
2525;VOIL LIST 2.80M;2525-VOIL LIST 2.80M
2526;VOIL LIST 2.80M;2526-VOIL LIST 2.80M
2527;VOIL LIST 2.80M;2527-VOIL LIST 2.80M
2528;VOIL LIST 2.80M;2528-VOIL LIST 2.80M
2529;VOIL LIST 2.80M;2529-VOIL LIST 2.80M
2530;VOIL LIST 2.80M;2530-VOIL LIST 2.80M
2531;VOIL LIST 2.80M;2531-VOIL LIST 2.80M
2532;VELUDO CLD 1.40M;2532-VELUDO CLD 1.40M
2533;VELUDO CLD 1.40M;2533-VELUDO CLD 1.40M
2534;VELUDO CLD 1.40M;2534-VELUDO CLD 1.40M
2535;JACQUARD 1.50M;2535-JACQUARD 1.50M
2536;JACQUARD 1.50M;2536-JACQUARD 1.50M
2537;SUEDE LISO 1.40M;2537-SUEDE LISO 1.40M
2538;VOIL 1.50M;2538-VOIL 1.50M
2540;SUEDE LAMINADO 1.40M;2540-SUEDE LAMINADO 1.40M
2541;SUEDE LAMINADO 1.40M;2541-SUEDE LAMINADO 1.40M
2542;SUEDE LAMINADO 1.40M;2542-SUEDE LAMINADO 1.40M
2543;SUEDE LAMINADO 1.40M;2543-SUEDE LAMINADO 1.40M
2544;SUEDE LAMINADO 1.40M;2544-SUEDE LAMINADO 1.40M
2545;MICROFIBRA 65G/M2 2.25M LISA;2545-MICROFIBRA 65G/M2 2.25M LISA
2546;MICROFIBRA 65G/M2 3.00M LISA;2546-MICROFIBRA 65G/M2 3.00M LISA
2547;SEMI BLACKOUT CLD 2.80M;2547-SEMI BLACKOUT CLD 2.80M
2548;SEMI BLACKOUT CLD 2.80M;2548-SEMI BLACKOUT CLD 2.80M
2549;SEMI BLACKOUT CLD 2.80M;2549-SEMI BLACKOUT CLD 2.80M
2550;MICROFIBRA MAQ 2.80M;2550-MICROFIBRA MAQ 2.80M
2551;MICROFIBRA MAQ 2.80M;2551-MICROFIBRA MAQ 2.80M
2552;MICROFIBRA MAQ 2.80M;2552-MICROFIBRA MAQ 2.80M
2553;MICROFIBRA MAQ 2.80M;2553-MICROFIBRA MAQ 2.80M
2554;RETALHO DE MICROFIBRA 70G;2554-RETALHO DE MICROFIBRA 70G
2555;VELUDO LISO 1.55M;2555-VELUDO LISO 1.55M
2557;VELUDO ANIMALE 1.40M;2557-VELUDO ANIMALE 1.40M
2558;VELUDO CANELADO 1.40M;2558-VELUDO CANELADO 1.40M
2559;ARTCOURO 1.41M;2559-ARTCOURO 1.41M
2560;ARTCOURO 1.41M;2560-ARTCOURO 1.41M
2561;ARTCOURO 1.41M;2561-ARTCOURO 1.41M
2562;VOIL LIST 2.80M;2562-VOIL LIST 2.80M
2563;VOIL LIST 2.80M;2563-VOIL LIST 2.80M
2564;VOIL LIST 2.80M;2564-VOIL LIST 2.80M
2565;VOIL LIST 2.80M;2565-VOIL LIST 2.80M
2566;VOIL LIST 2.80M;2566-VOIL LIST 2.80M
2567;VOIL LIST 2.80M;2567-VOIL LIST 2.80M
2568;VOIL LIST 2.80M;2568-VOIL LIST 2.80M
2569;VOIL LIST 2.80M;2569-VOIL LIST 2.80M
2570;VOIL LIST 2.80M;2570-VOIL LIST 2.80M
2571;VOIL LIST 2.80M;2571-VOIL LIST 2.80M
2573;SEMI BLACK OUT 2.90M;2573-SEMI BLACK OUT 2.90M
2574;SEMI BLACK OUT CLD 2.90M;2574-SEMI BLACK OUT CLD 2.90M
2575;VELUDO CLD 1.40M;2575-VELUDO CLD 1.40M
2576;SEMI BLACK OUT CLD 2.90M;2576-SEMI BLACK OUT CLD 2.90M
2577;SEMI BLACK OUT CLD 2.90M;2577-SEMI BLACK OUT CLD 2.90M
2578;SEMI BLACK OUT CLD 2.90M;2578-SEMI BLACK OUT CLD 2.90M
2579;VELUDO 1.42M;2579-VELUDO 1.42M
2580;VELUDO AM 1.42M;2580-VELUDO AM 1.42M
2581;VELUDO CLD 1.40M;2581-VELUDO CLD 1.40M
2582;VELUDO CLD 1.40M;2582-VELUDO CLD 1.40M
2583;VELUDO CLD 1.42M;2583-VELUDO CLD 1.42M
2584;VELUDO AM 1.42M;2584-VELUDO AM 1.42M
2585;VELUDO CLD 1.42M;2585-VELUDO CLD 1.42M
2586;FIBRA 7DX64MM HCS;2586-FIBRA 7DX64MM HCS
2587;FIBRA 15DX64MM HCS;2587-FIBRA 15DX64MM HCS
2588;JACQUARD 2.80M;2588-JACQUARD 2.80M
2589;JACQUARD 2.80M;2589-JACQUARD 2.80M
2590;JACQUARD 2.80M;2590-JACQUARD 2.80M
2591;JACQUARD 2.80M;2591-JACQUARD 2.80M
2592;FIBRA SILICON 15DX64MM;2592-FIBRA SILICON 15DX64MM
2593;BLACKOUT 2.80M;2593-BLACKOUT 2.80M
2594;BLACKOUT 2.80M;2594-BLACKOUT 2.80M
2595;BLACKOUT 2.80M;2595-BLACKOUT 2.80M
2596;BLACKOUT 2.80M;2596-BLACKOUT 2.80M
2597;BLACKOUT 2.80M;2597-BLACKOUT 2.80M
2598;BLACKOUT 2.80M;2598-BLACKOUT 2.80M
2599;VELUDO 1.42M;2599-VELUDO 1.42M
